Téléchargé sur lestransactions.fr sous Licence CC-BY-NC-SA
ISIN;Ticker Yahoo;Société;Déclarant;Date Transaction;Date Réception;Nature;Instrument;Prix;Volume;Total;Total en part de la capitalisation (x%);Capitalisation;Monnaie;pdf;Commentaire
FR0013426004;CLA.PA;CLARANOVA;Sebastien Martin, Executive Vice-President;2020-12-22;22 décembre 2020;Exercice BSA;Action;5.3;39623;210001;0.08;266.619M;EUR;https://bdif.amf-france.org/technique/multimedia?docId=f7f56395-057e-4804-b970-08f80e3c98f7&famille=BDIF&bdifId=131527DD0202_2020DD725131; 
FR0013426004;CLA.PA;CLARANOVA;Caroline Bouraine Le Bigot, administrateur;2020-12-22;22 décembre 2020;Exercice BSA;Action;5.3;6021;31911;0.01;266.619M;EUR;https://bdif.amf-france.org/technique/multimedia?docId=7cdbd796-26ac-4bcd-a531-819b3f428fe2&famille=BDIF&bdifId=021527DD0202_2020DD725120; 
FR0000125338;CAP.PA;CAPGEMINI;Hervé JEANNIN, Board member;2020-12-17;22 décembre 2020;Souscription;parts du FCPE «ESOP Capgemini »;92.93;9;841;0.0;19.709B;EUR;https://bdif.amf-france.org/technique/multimedia?docId=91f775e8-d634-412c-8fb8-7b2a541a00b1&famille=BDIF&bdifId=280527DD0202_2020DD725082; 
FR0010451203;RXL.PA;REXEL;Claudine Berard personne liée à Patrick Berard, Directeur General;2020-12-16;22 décembre 2020;Donation-partage;Action;0.0;16700;0;0.0;3.871B;EUR;https://bdif.amf-france.org/technique/multimedia?docId=d7c8e6dc-e9c9-42af-8f35-2a6cf9d23d05&famille=BDIF&bdifId=180527DD0202_2020DD725081; 
FR0000121667;EL.PA;ESSILORLUXOTTICA;Leonel PEREIRA ASCENCAO, administrateur;2020-12-21;22 décembre 2020;acquisition d'actions gratuites;Action;0.0;14;0;0.0;55.933B;EUR;https://bdif.amf-france.org/technique/multimedia?docId=a466fc52-5d84-480f-b3d9-07527c2f1fb1&famille=BDIF&bdifId=080527DD0202_2020DD725080; 
FR0010451203;RXL.PA;REXEL;PATRICK BERARD, Directeur Général;2020-12-16;22 décembre 2020;Donation-partage;Action;0.0;16700;0;0.0;3.871B;EUR;https://bdif.amf-france.org/technique/multimedia?docId=ad1d90ba-59df-4b14-b7c7-5e889aab92e7&famille=BDIF&bdifId=970527DD0202_2020DD725079; 
FR0000121667;EL.PA;ESSILORLUXOTTICA;Juliette FAVRE, administrateur;2020-12-21;22 décembre 2020;acquisition d'actions gratuites;Action;0.0;14;0;0.0;55.933B;EUR;https://bdif.amf-france.org/technique/multimedia?docId=043eec49-953e-4819-a123-9ca6226d0953&famille=BDIF&bdifId=870527DD0202_2020DD725078; 
FR0000121667;EL.PA;ESSILORLUXOTTICA;Delphine ZABLOCKI, administrateur;2020-12-21;22 décembre 2020;acquisition d'actions gratuites;Action;0.0;14;0;0.0;55.933B;EUR;https://bdif.amf-france.org/technique/multimedia?docId=605a7976-51b4-4ea1-b4b0-965161403175&famille=BDIF&bdifId=370527DD0202_2020DD725073; 
FR0010112524;NXI.PA;NEXITY;VERONIQUE BEDAGUE HAMILIUS, Directrice Générale déléguée;2020-06-01;22 décembre 2020;actions gratuites;Action;0.0;4500;0;0.0;1.929B;EUR;https://bdif.amf-france.org/technique/multimedia?docId=3184ee57-c3a9-413f-9b20-edee2b540871&famille=BDIF&bdifId=270527DD0202_2020DD725072; 
FR0004032746;ALNEV.PA;NEOVACS;EQUITIS GESTION SAS SAS personne morale liée à HUGO BRUGIERE, PDG NEOVACS;2020-12-21;22 décembre 2020;Cession;Action;0.0312;1353996;42244;0.27;15.505M;EUR;https://bdif.amf-france.org/technique/multimedia?docId=c050829b-0330-42d8-92c5-7f4d9d143fa8&famille=BDIF&bdifId=960527DD0202_2020DD725069; 
